index,pruid,prname,prnameFR,sdate,numconf,numprob,numdeaths,numtotal,numtoday,ratetotal
283,48,Alberta,Alberta,3/26/2020,486,0,2,486,67,11.12
284,47,Saskatchewan,Saskatchewan,3/26/2020,95,0,0,95,9,8.09
285,46,Manitoba,Manitoba,3/26/2020,11,25,0,36,1,2.63
286,35,Ontario,Ontario,3/26/2020,858,0,15,858,170,5.89
287,24,Quebec,QuÃ©bec,3/26/2020,1629,0,8,1629,290,19.2
288,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/26/2020,82,0,0,82,15,15.72
289,13,New Brunswick,Nouveau-Brunswick,3/26/2020,33,0,0,33,7,4.25
290,12,Nova Scotia,Nouvelle-Ã‰cosse,3/26/2020,73,0,0,73,5,7.51
291,11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/26/2020,9,0,0,9,4,5.73
292,60,Yukon,Yukon,3/26/2020,3,0,0,3,0,7.34
293,61,Northwest Territories,Territoires du Nord-Ouest,3/26/2020,1,0,0,1,0,2.23
294,62,Nunavut,Nunavut,3/26/2020,0,0,0,0,0,0
295,99,Repatriated travellers,Voyageurs rapatriÃ©s,3/26/2020,13,0,0,13,0,
296,1,Canada,Canada,3/26/2020,4018,25,39,4043,634,10.76
